feature_type,algorithm,params,auc_mean,auc_std,auc_scores
descriptors,random_forest,"{'n_estimators': 300, 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 2}",0.8139397891628142,0.01774489622426345,"[0.8316846853870776, 0.7961948929385507]"
descriptors,xgboost,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.8128767716014124,0.010021080445834829,"[0.8228978520472472, 0.8028556911555775]"
descriptors,xgboost,"{'n_estimators': 500, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9, 'colsample_bytree': 0.9}",0.8123689679788961,0.004980330980263015,"[0.8173492989591591, 0.8073886369986331]"
descriptors,random_forest,"{'n_estimators': 500, 'max_depth': 40, 'max_features': None, 'min_samples_leaf': 1}",0.8111082332069388,0.014402008443160197,"[0.825510241650099, 0.7967062247637786]"
descriptors,xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.810948681981212,0.007773678124648076,"[0.81872236010586, 0.8031750038565638]"
fingerprints,random_forest,"{'n_estimators': 300, 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 2}",0.8099227169464822,0.004202920314152481,"[0.8141256372606347, 0.8057197966323297]"
descriptors,xgboost,"{'n_estimators': 700, 'learning_rate': 0.07, 'max_depth': 6, 'subsample': 0.85, 'colsample_bytree': 0.85}",0.809774697715131,0.007651484005397002,"[0.8174261817205281, 0.802123213709734]"
descriptors,random_forest,"{'n_estimators': 200, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1}",0.807260731227452,0.017764932454864102,"[0.8250256636823161, 0.7894957987725879]"
fingerprints,random_forest,"{'n_estimators': 500, 'max_depth': 40, 'max_features': None, 'min_samples_leaf': 1}",0.8027515698086574,0.006333373731241376,"[0.8090849435398988, 0.796418196077416]"
fingerprints,random_forest,"{'n_estimators': 200, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1}",0.7979824074813153,0.004988732246064942,"[0.8029711397273803, 0.7929936752352504]"
