feature_type,algorithm,params,auc_mean,auc_std,auc_scores
combined,random_forest,"{'n_estimators': 600, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1}",0.9361245035188184,0.003935630698800186,"[0.9353066487115478, 0.9379111019083016, 0.9425840950099296, 0.9338712811356072, 0.930949390828705]"
combined,random_forest,"{'n_estimators': 400, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.934736847131599,0.0043624897503379235,"[0.9358800009917219, 0.9363555308375195, 0.9410694297843744, 0.932400270846326, 0.9279790031980534]"
combined,xgboost,"{'n_estimators': 900, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.925802721580005,0.005204633554624561,"[0.929591904384416, 0.9270080651616003, 0.9321579048937891, 0.9228512821068127, 0.9174044513534069]"
